Model,AUC,Accuracy,Precision,Recall,F1-Score,Business Cost,Optimal Threshold
Logistic Regression,0.7683904384709734,0.703916882103312,0.17096437621105978,0.6930513595166163,0.27427068388330944,4965,1.0
Random Forest,0.7553102215348253,0.9177601092629628,0.41275797373358347,0.044310171198388724,0.08002910149145144,4964,0.7777777777777778
XGBoost,0.769465915802353,0.7049737411183195,0.1724326473804553,0.6986908358509567,0.27660168241438426,4965,0.9393939393939394
LightGBM,0.7793117423863112,0.7246475781669187,0.1825943996605855,0.6934541792547835,0.2890726669745183,4959,0.9393939393939394
